"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2952","test_faq_question_expands[3]","tests","2026-02-05","passed","2026-02-05","TestFAQ","test_faq","",""
"","3507","test_click_yandex_logo_opens_dzen","tests","2026-02-05","passed","2026-02-05","","test_logo_yandex","",""
"","2367","test_click_scooter_logo_opens_main_page","tests","2026-02-05","passed","2026-02-05","","test_logo_scooter","",""
"Позитивный сценарий: заказ через верхнюю или нижнюю кнопку","4554","test_order_flow[\u0418\u0432\u0430\u043d-\u0418\u0432\u0430\u043d\u043e\u0432-\u0443\u043b. \u041f\u0443\u0448\u043a\u0438\u043d\u0430, 10-\u041a\u0440\u0430\u0441\u043d\u043e\u0441\u0435\u043b\u044c\u0441\u043a\u0430\u044f-+79261234567-02.03.2026-\u0434\u0432\u043e\u0435 \u0441\u0443\u0442\u043e\u043a-\u0447\u0451\u0440\u043d\u044b\u0439 \u0436\u0435\u043c\u0447\u0443\u0433-bottom]","tests","2026-02-05","passed","2026-02-05","","test_order","",""
"","3219","test_faq_question_expands[1]","tests","2026-02-05","passed","2026-02-05","TestFAQ","test_faq","",""
"","3007","test_faq_question_expands[2]","tests","2026-02-05","passed","2026-02-05","TestFAQ","test_faq","",""
"Позитивный сценарий: заказ через верхнюю или нижнюю кнопку","4101","test_order_flow[\u041c\u0430\u0440\u0438\u044f-\u041f\u043e\u043d\u043e\u043c\u0430\u0440\u0435\u0432\u0430-\u0443\u043b. \u041b\u0435\u043d\u0438\u043d\u0430, 1-\u0421\u043e\u043a\u043e\u043b\u044c\u043d\u0438\u043a\u0438-+79161234567-01.03.2026-\u0434\u0432\u043e\u0435 \u0441\u0443\u0442\u043e\u043a-\u0447\u0451\u0440\u043d\u044b\u0439 \u0436\u0435\u043c\u0447\u0443\u0433-top]","tests","2026-02-05","passed","2026-02-05","","test_order","",""
"","2870","test_faq_question_expands[5]","tests","2026-02-05","passed","2026-02-05","TestFAQ","test_faq","",""
"","3085","test_faq_question_expands[6]","tests","2026-02-05","passed","2026-02-05","TestFAQ","test_faq","",""
"","2842","test_faq_question_expands[4]","tests","2026-02-05","passed","2026-02-05","TestFAQ","test_faq","",""
"","3360","test_faq_question_expands[0]","tests","2026-02-05","passed","2026-02-05","TestFAQ","test_faq","",""
"Позитивный сценарий: заказ через верхнюю или нижнюю кнопку","5840","test_order_flow[\u0418\u0432\u0430\u043d-\u0418\u0432\u0430\u043d\u043e\u0432-\u0443\u043b. \u041f\u0443\u0448\u043a\u0438\u043d\u0430, 10-\u041a\u0440\u0430\u0441\u043d\u043e\u0441\u0435\u043b\u044c\u0441\u043a\u0430\u044f-+79261234567-02.03.2026-\u0434\u0432\u043e\u0435 \u0441\u0443\u0442\u043e\u043a-\u0447\u0451\u0440\u043d\u044b\u0439 \u0436\u0435\u043c\u0447\u0443\u0433-top]","tests","2026-02-05","passed","2026-02-05","","test_order","",""
"Позитивный сценарий: заказ через верхнюю или нижнюю кнопку","4581","test_order_flow[\u041c\u0430\u0440\u0438\u044f-\u041f\u043e\u043d\u043e\u043c\u0430\u0440\u0435\u0432\u0430-\u0443\u043b. \u041b\u0435\u043d\u0438\u043d\u0430, 1-\u0421\u043e\u043a\u043e\u043b\u044c\u043d\u0438\u043a\u0438-+79161234567-01.03.2026-\u0434\u0432\u043e\u0435 \u0441\u0443\u0442\u043e\u043a-\u0447\u0451\u0440\u043d\u044b\u0439 \u0436\u0435\u043c\u0447\u0443\u0433-bottom]","tests","2026-02-05","passed","2026-02-05","","test_order","",""
